Time (Seconds),X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8
0.78,0.48836,1.065272,0.394014,,,,,,,,,,,,,,,,,,,,,
0.79,0.488351,1.06531,0.393995,,,,,,,,,,,,,,,,,,,,,
0.8,0.488329,1.065322,0.393958,,,,,,,,,,,,,,,,,,,,,
0.81,0.488298,1.065333,0.393904,,,,,,,,,,,,,,,,,,,,,
0.82,0.488282,1.065352,0.393861,,,,,,,,,,,,,,,,,,,,,
0.83,0.488263,1.065369,0.393818,,,,,,,,,,,,,,,,,,,,,
0.84,0.488244,1.065386,0.393769,,,,,,,,,,,,,,,,,,,,,
0.85,0.488218,1.065415,0.393738,,,,,,,,,,,,,,,,,,,,,
0.86,0.488142,1.065577,0.393626,,,,,,,,,,,,,,,,,,,,,
0.87,0.488125,1.065588,0.393552,,,,,,,,,,,,,,,,,,,,,
0.88,0.488119,1.065622,0.393524,,,,,,,,,,,,,,,,,,,,,
0.89,0.488104,1.065646,0.39349,,,,,,,,,,,,,,,,,,,,,
0.9,0.488109,1.065668,0.393457,,,,,,,,,,,,,,,,,,,,,
0.91,0.488107,1.065703,0.393443,,,,,,,,,,,,,,,,,,,,,
0.92,0.488103,1.065715,0.393424,,,,,,,,,,,,,,,,,,,,,
0.93,0.488115,1.065737,0.393395,,,,,,,,,,,,,,,,,,,,,
0.94,0.488116,1.06575,0.39337,,,,,,,,,,,,,,,,,,,,,
0.95,0.488112,1.065737,0.393276,,,,,,,,,,,,,,,,,,,,,
0.96,0.488116,1.065778,0.393317,,,,,,,,,,,,,,,,,,,,,
0.97,0.488117,1.065757,0.393211,,,,,,,,,,,,,,,,,,,,,
0.98,0.488119,1.065739,0.393172,,,,,,,,,,,,,,,,,,,,,
0.99,0.488124,1.065739,0.393137,,,,,,,,,,,,,,,,,,,,,
1,0.488119,1.065741,0.393096,,,,,,,,,,,,,,,,,,,,,
1.01,0.48814,1.065768,0.393075,,,,,,,,,,,,,,,,,,,,,
1.02,0.488139,1.065782,0.393047,,,,,,,,,,,,,,,,,,,,,
1.03,0.488152,1.065798,0.393016,,,,,,,,,,,,,,,,,,,,,
1.04,0.488152,1.065812,0.392987,,,,,,,,,,,,,,,,,,,,,
1.05,0.488357,1.065722,0.392941,,,,,,,,,,,,,,,,,,,,,
1.06,0.488174,1.065825,0.392942,,,,,,,,,,,,,,,,,,,,,
1.07,0.488199,1.065846,0.392918,,,,,,,,,,,,,,,,,,,,,
1.08,0.488197,1.065838,0.392899,,,,,,,,,,,,,,,,,,,,,
1.09,0.488211,1.065824,0.392886,,,,,,,,,,,,,,,,,,,,,
1.1,0.48823,1.065814,0.392864,,,,,,,,,,,,,,,,,,,,,
1.11,0.48823,1.065802,0.39285,,,,,,,,,,,,,,,,,,,,,
1.12,0.488232,1.065795,0.392821,,,,,,,,,,,,,,,,,,,,,
1.13,0.488245,1.065804,0.392809,,,,,,,,,,,,,,,,,,,,,
1.14,0.488254,1.0658,0.392782,,,,,,,,,,,,,,,,,,,,,
1.15,0.488269,1.065814,0.392767,,,,,,,,,,,,,,,,,,,,,
1.16,0.488281,1.065813,0.392744,,,,,,,,,,,,,,,,,,,,,
1.17,0.488289,1.065803,0.392729,,,,,,,,,,,,,,,,,,,,,
1.18,0.488297,1.065791,0.392712,,,,,,,,,,,,,,,,,,,,,
1.19,0.488312,1.065798,0.392696,,,,,,,,,,,,,,,,,,,,,
1.2,0.488328,1.06581,0.392688,,,,,,,,,,,,,,,,,,,,,
1.21,0.488345,1.065831,0.392675,,,,,,,,,,,,,,,,,,,,,
1.22,0.488356,1.065834,0.392654,,,,,,,,,,,,,,,,,,,,,
1.23,0.488385,1.06583,0.392644,,,,,,,,,,,,,,,,,,,,,
1.24,0.48839,1.065818,0.392624,,,,,,,,,,,,,,,,,,,,,
1.25,0.488409,1.065817,0.392611,,,,,,,,,,,,,,,,,,,,,
1.26,0.488421,1.065811,0.392596,,,,,,,,,,,,,,,,,,,,,
1.27,0.488436,1.065807,0.392582,,,,,,,,,,,,,,,,,,,,,
1.28,0.488452,1.065814,0.39257,,,,,,,,,,,,,,,,,,,,,
1.29,0.488459,1.065817,0.392554,,,,,,,,,,,,,,,,,,,,,
1.3,0.488461,1.065834,0.39255,,,,,,,,,,,,,,,,,,,,,
1.31,0.488455,1.065814,0.392523,,,,,,,,,,,,,,,,,,,,,
1.32,0.488467,1.065813,0.392522,,,,,,,,,,,,,,,,,,,,,
1.33,0.488473,1.065821,0.392516,,,,,,,,,,,,,,,,,,,,,
1.34,0.488482,1.065824,0.392496,,,,,,,,,,,,,,,,,,,,,
1.35,0.488485,1.065816,0.392481,,,,,,,,,,,,,,,,,,,,,
1.36,0.488498,1.065829,0.39249,,,,,,,,,,,,,,,,,,,,,
1.37,0.48851,1.065845,0.392484,,,,,,,,,,,,,,,,,,,,,
1.38,0.488522,1.065857,0.392474,,,,,,,,,,,,,,,,,,,,,
1.39,0.488518,1.065866,0.392457,,,,,,,,,,,,,,,,,,,,,
1.4,0.488518,1.065863,0.392448,,,,,,,,,,,,,,,,,,,,,
1.41,0.488517,1.065858,0.392434,,,,,,,,,,,,,,,,,,,,,
1.42,0.488512,1.065837,0.392413,,,,,,,,,,,,,,,,,,,,,
1.43,0.488534,1.065829,0.39239,,,,,,,,,,,,,,,,,,,,,
1.44,0.488525,1.065816,0.392368,,,,,,,,,,,,,,,,,,,,,
1.45,0.488531,1.065814,0.392343,,,,,,,,,,,,,,,,,,,,,
1.46,0.488518,1.065804,0.392318,,,,,,,,,,,,,,,,,,,,,
1.47,0.488514,1.0658,0.392298,,,,,,,,,,,,,,,,,,,,,
1.48,0.488493,1.065793,0.392261,,,,,,,,,,,,,,,,,,,,,
1.49,0.488487,1.065787,0.392222,,,,,,,,,,,,,,,,,,,,,
1.5,0.488476,1.065783,0.392179,,,,,,,,,,,,,,,,,,,,,
1.51,0.488475,1.065784,0.392135,,,,,,,,,,,,,,,,,,,,,
1.52,0.488471,1.065771,0.392107,,,,,,,,,,,,,,,,,,,,,
1.53,0.488465,1.06576,0.392062,,,,,,,,,,,,,,,,,,,,,
1.54,0.488454,1.065744,0.392029,,,,,,,,,,,,,,,,,,,,,
1.55,0.488457,1.065718,0.391984,,,,,,,,,,,,,,,,,,,,,
1.56,0.48844,1.065697,0.391952,,,,,,,,,,,,,,,,,,,,,
1.57,0.488427,1.065679,0.391913,,,,,,,,,,,,,,,,,,,,,
1.58,0.488414,1.065672,0.391875,,,,,,,,,,,,,,,,,,,,,
1.59,0.488399,1.06566,0.391827,,,,,,,,,,,,,,,,,,,,,
1.6,0.488381,1.065633,0.391781,,,,,,,,,,,,,,,,,,,,,
1.61,0.488362,1.065598,0.391727,,,,,,,,,,,,,,,,,,,,,
1.62,0.488352,1.065576,0.391661,,,,,,,,,,,,,,,,,,,,,
1.63,0.488347,1.065549,0.391589,,,,,,,,,,,,,,,,,,,,,
1.64,0.48835,1.065537,0.391519,,,,,,,,,,,,,,,,,,,,,
1.65,0.48864,1.065481,0.391341,,,,,,,,,,,,,,,,,,,,,
1.66,0.488646,1.065474,0.391274,,,,,,,,,,,,,,,,,,,,,
1.67,0.488646,1.065422,0.391132,,,,,,,,,,,,,,,,,,,,,
1.68,0.488651,1.065389,0.391069,,,,,,,,,,,,,,,,,,,,,
1.69,0.488636,1.065352,0.391001,,,,,,,,,,,,,,,,,,,,,
1.7,0.488633,1.065336,0.390931,,,,,,,,,,,,,,,,,,,,,
1.71,0.488636,1.065319,0.390872,,,,,,,,,,,,,,,,,,,,,
1.72,0.488632,1.065302,0.390808,,,,,,,,,,,,,,,,,,,,,
1.73,0.488629,1.065268,0.390746,,,,,,,,,,,,,,,,,,,,,
1.74,0.488632,1.065252,0.390687,,,,,,,,,,,,,,,,,,,,,
1.75,0.488626,1.065211,0.390628,,,,,,,,,,,,,,,,,,,,,
1.76,0.488621,1.065188,0.390574,,,,,,,,,,,,,,,,,,,,,
1.77,0.48864,1.065178,0.390533,,,,,,,,,,,,,,,,,,,,,
1.78,0.48864,1.065161,0.390493,,,,,,,,,,,,,,,,,,,,,
1.79,0.488653,1.065158,0.390457,,,,,,,,,,,,,,,,,,,,,
1.8,0.488648,1.065143,0.390418,,,,,,,,,,,,,,,,,,,,,
1.81,0.488646,1.065135,0.390396,,,,,,,,,,,,,,,,,,,,,
1.82,0.488658,1.065155,0.390393,,,,,,,,,,,,,,,,,,,,,
1.83,0.488677,1.065168,0.390372,,,,,,,,,,,,,,,,,,,,,
1.84,0.488684,1.065184,0.390368,,,,,,,,,,,,,,,,,,,,,
1.85,0.488698,1.065199,0.390355,,,,,,,,,,,,,,,,,,,,,
1.86,0.488719,1.065218,0.390361,,,,,,,,,,,,,,,,,,,,,
1.87,0.488705,1.065221,0.390351,,,,,,,,,,,,,,,,,,,,,
1.88,0.488705,1.06524,0.390345,,,,,,,,,,,,,,,,,,,,,
1.89,0.488687,1.065249,0.390334,,,,,,,,,,,,,,,,,,,,,
1.9,0.488688,1.065263,0.390319,,,,,,,,,,,,,,,,,,,,,
1.91,0.48867,1.065275,0.390309,,,,,,,,,,,,,,,,,,,,,
1.92,0.488647,1.065297,0.390283,,,,,,,,,,,,,,,,,,,,,
1.93,0.488626,1.06531,0.39026,,,,,,,,,,,,,,,,,,,,,
1.94,0.488606,1.065334,0.390249,,,,,,,,,,,,,,,,,,,,,
1.95,0.488586,1.065363,0.390231,,,,,,,,,,,,,,,,,,,,,
1.96,0.48857,1.065392,0.390219,,,,,,,,,,,,,,,,,,,,,
1.97,0.488551,1.06542,0.390214,,,,,,,,,,,,,,,,,,,,,
1.98,0.488539,1.065455,0.390215,,,,,,,,,,,,,,,,,,,,,
1.99,0.488518,1.065492,0.390227,,,,,,,,,,,,,,,,,,,,,
2,0.488506,1.065529,0.390251,,,,,,,,,,,,,,,,,,,,,
2.01,0.48842,1.065706,0.390208,,,,,,,,,,,,,,,,,,,,,
2.02,0.48848,1.065603,0.3903,,,,,,,,,,,,,,,,,,,,,
2.03,0.488384,1.065772,0.390254,,,,,,,,,,,,,,,,,,,,,
2.04,0.488373,1.065809,0.390278,,,,,,,,,,,,,,,,,,,,,
2.05,0.488358,1.065848,0.390312,,,,,,,,,,,,,,,,,,,,,
2.06,0.48836,1.065892,0.390335,,,,,,,,,,,,,,,,,,,,,
2.07,0.488346,1.065927,0.390365,,,,,,,,,,,,,,,,,,,,,
2.08,0.488346,1.065954,0.390399,,,,,,,,,,,,,,,,,,,,,
2.09,0.488344,1.065971,0.39043,,,,,,,,,,,,,,,,,,,,,
2.1,0.488351,1.065998,0.39048,,,,,,,,,,,,,,,,,,,,,
2.11,0.488362,1.066017,0.390522,,,,,,,,,,,,,,,,,,,,,
2.12,0.488374,1.066041,0.390591,,,,,,,,,,,,,,,,,,,,,
2.13,0.488388,1.066051,0.390653,,,,,,,,,,,,,,,,,,,,,
2.14,0.488411,1.066089,0.39073,,,,,,,,,,,,,,,,,,,,,
2.15,0.488405,1.066103,0.390798,,,,,,,,,,,,,,,,,,,,,
2.16,0.488426,1.066146,0.390867,,,,,,,,,,,,,,,,,,,,,
2.17,0.488335,1.066114,0.391013,,,,,,,,,,,,,,,,,,,,,
2.18,0.488355,1.066143,0.39107,,,,,,,,,,,,,,,,,,,,,
2.19,0.488347,1.066164,0.39111,,,,,,,,,,,,,,,,,,,,,
2.2,0.488369,1.066171,0.391144,,,,,,,,,,,,,,,,,,,,,
2.21,0.488375,1.066194,0.391171,,,,,,,,,,,,,,,,,,,,,
2.22,0.488379,1.066218,0.391197,,,,,,,,,,,,,,,,,,,,,
2.23,0.488381,1.066256,0.391245,,,,,,,,,,,,,,,,,,,,,
2.24,0.488386,1.066284,0.391274,,,,,,,,,,,,,,,,,,,,,
2.25,0.488392,1.066325,0.391392,,,,,,,,,,,,,,,,,,,,,
2.26,0.488404,1.066354,0.391442,,,,,,,,,,,,,,,,,,,,,
2.27,0.48828,1.066351,0.39156,,,,,,,,,,,,,,,,,,,,,
2.28,0.488401,1.066431,0.391528,,,,,,,,,,,,,,,,,,,,,
2.29,0.488408,1.066454,0.391598,,,,,,,,,,,,,,,,,,,,,
2.3,0.488314,1.066423,0.391754,,,,,,,,,,,,,,,,,,,,,
2.31,0.488325,1.066441,0.391818,,,,,,,,,,,,,,,,,,,,,
2.32,0.488318,1.066445,0.391881,,,,,,,,,,,,,,,,,,,,,
2.33,0.488307,1.066454,0.391939,,,,,,,,,,,,,,,,,,,,,
2.34,0.488308,1.066468,0.392001,,,,,,,,,,,,,,,,,,,,,
2.35,0.488301,1.066467,0.392073,,,,,,,,,,,,,,,,,,,,,
2.36,0.488292,1.066478,0.392146,,,,,,,,,,,,,,,,,,,,,
2.37,0.488298,1.066494,0.392213,,,,,,,,,,,,,,,,,,,,,
2.38,0.488276,1.066504,0.392279,,,,,,,,,,,,,,,,,,,,,
2.39,0.488266,1.066539,0.392347,,,,,,,,,,,,,,,,,,,,,
2.4,0.488239,1.066568,0.392415,,,,,,,,,,,,,,,,,,,,,
2.41,0.488216,1.066604,0.392462,,,,,,,,,,,,,,,,,,,,,
2.42,0.488181,1.066635,0.392526,,,,,,,,,,,,,,,,,,,,,
2.43,0.488153,1.066664,0.39259,,,,,,,,,,,,,,,,,,,,,
2.44,0.488131,1.066693,0.392643,,,,,,,,,,,,,,,,,,,,,
2.45,0.48811,1.066725,0.392708,,,,,,,,,,,,,,,,,,,,,
2.46,0.488063,1.066783,0.392809,,,,,,,,,,,,,,,,,,,,,
2.47,0.48804,1.066801,0.392879,,,,,,,,,,,,,,,,,,,,,
2.48,0.488004,1.066809,0.392955,,,,,,,,,,,,,,,,,,,,,
2.49,0.487977,1.066827,0.393023,,,,,,,,,,,,,,,,,,,,,
2.5,0.487942,1.066844,0.393097,,,,,,,,,,,,,,,,,,,,,
2.51,0.487914,1.066859,0.393166,,,,,,,,,,,,,,,,,,,,,
2.52,0.487891,1.066867,0.39322,,,,,,,,,,,,,,,,,,,,,
2.53,0.4876,1.066906,0.39338,,,,,,,,,,,,,,,,,,,,,
2.54,0.487569,1.066911,0.393421,,,,,,,,,,,,,,,,,,,,,
2.55,0.487552,1.06691,0.393446,,,,,,,,,,,,,,,,,,,,,
2.56,0.487531,1.066957,0.393537,,,,,,,,,,,,,,,,,,,,,
2.57,0.487513,1.066967,0.393567,,,,,,,,,,,,,,,,,,,,,
2.58,0.487505,1.066989,0.393593,,,,,,,,,,,,,,,,,,,,,
2.59,0.48749,1.066992,0.393603,,,,,,,,,,,,,,,,,,,,,
2.6,0.487475,1.066999,0.393612,,,,,,,,,,,,,,,,,,,,,
2.61,0.487441,1.066976,0.39362,,,,,,,,,,,,,,,,,,,,,
2.62,0.487422,1.066979,0.393644,,,,,,,,,,,,,,,,,,,,,
2.63,0.487393,1.066971,0.393657,,,,,,,,,,,,,,,,,,,,,
2.64,0.487363,1.066967,0.393664,,,,,,,,,,,,,,,,,,,,,
2.65,0.48734,1.066961,0.393689,,,,,,,,,,,,,,,,,,,,,
2.66,0.487304,1.066945,0.393686,,,,,,,,,,,,,,,,,,,,,
2.67,0.487267,1.066924,0.393695,,,,,,,,,,,,,,,,,,,,,
2.68,0.487225,1.066902,0.393731,,,,,,,,,,,,,,,,,,,,,
2.69,0.487208,1.066884,0.39371,,,,,,,,,,,,,,,,,,,,,
2.7,0.487174,1.066864,0.393741,,,,,,,,,,,,,,,,,,,,,
2.71,0.487122,1.06683,0.393728,,,,,,,,,,,,,,,,,,,,,
2.72,0.487077,1.066793,0.393722,,,,,,,,,,,,,,,,,,,,,
2.73,0.487031,1.066766,0.393695,,,,,,,,,,,,,,,,,,,,,
2.74,0.486981,1.066734,0.393679,,,,,,,,,,,,,,,,,,,,,
2.75,0.48694,1.066711,0.393676,,,,,,,,,,,,,,,,,,,,,
2.76,0.486889,1.066682,0.393674,,,,,,,,,,,,,,,,,,,,,
2.77,0.486858,1.066651,0.393666,,,,,,,,,,,,,,,,,,,,,
2.78,0.486802,1.066609,0.393688,,,,,,,,,,,,,,,,,,,,,
2.79,0.48677,1.066579,0.393645,,,,,,,,,,,,,,,,,,,,,
2.8,0.486723,1.066551,0.393641,,,,,,,,,,,,,,,,,,,,,
2.81,0.486674,1.066521,0.393681,,,,,,,,,,,,,,,,,,,,,
2.82,0.486633,1.06649,0.393658,,,,,,,,,,,,,,,,,,,,,
2.83,0.486584,1.066461,0.393689,,,,,,,,,,,,,,,,,,,,,
2.84,0.486534,1.066414,0.393684,,,,,,,,,,,,,,,,,,,,,
2.85,0.486495,1.066382,0.393696,,,,,,,,,,,,,,,,,,,,,
2.86,0.486465,1.06636,0.393708,,,,,,,,,,,,,,,,,,,,,
2.87,0.486432,1.066343,0.393722,,,,,,,,,,,,,,,,,,,,,
2.88,0.486397,1.066313,0.393723,,,,,,,,,,,,,,,,,,,,,
2.89,0.486357,1.066283,0.393731,,,,,,,,,,,,,,,,,,,,,
2.9,0.486319,1.066259,0.393729,,,,,,,,,,,,,,,,,,,,,
2.91,0.486281,1.066228,0.393724,,,,,,,,,,,,,,,,,,,,,
2.92,0.48625,1.066211,0.393722,,,,,,,,,,,,,,,,,,,,,
2.93,0.486215,1.066193,0.393726,,,,,,,,,,,,,,,,,,,,,
2.94,0.486182,1.066164,0.393726,,,,,,,,,,,,,,,,,,,,,
2.95,0.486131,1.066121,0.393706,,,,,,,,,,,,,,,,,,,,,
2.96,0.486098,1.066077,0.393656,,,,,,,,,,,,,,,,,,,,,
2.97,0.486048,1.066042,0.393656,,,,,,,,,,,,,,,,,,,,,
2.98,0.48601,1.066035,0.393647,,,,,,,,,,,,,,,,,,,,,
2.99,0.485988,1.066027,0.393636,,,,,,,,,,,,,,,,,,,,,
3,0.485955,1.066018,0.393621,,,,,,,,,,,,,,,,,,,,,
3.01,0.4859,1.06599,0.393588,,,,,,,,,,,,,,,,,,,,,
3.02,0.485885,1.065981,0.393558,,,,,,,,,,,,,,,,,,,,,
3.03,0.485838,1.065951,0.393532,,,,,,,,,,,,,,,,,,,,,
3.04,0.485808,1.065939,0.393514,,,,,,,,,,,,,,,,,,,,,
3.05,0.485768,1.065937,0.393491,,,,,,,,,,,,,,,,,,,,,
3.06,0.485728,1.065914,0.393464,,,,,,,,,,,,,,,,,,,,,
